ts_code,symbol,name,area,industry,list_date,open,close,change,vol,amount
000001.SZ,000001,平安银行,深圳,银行,19910403,10.31,10.41,0.03,599991.47,621915.277
000002.SZ,000002,万科A,深圳,全国地产,19910129,11.62,11.57,-0.13,427222.54,493674.466
000004.SZ,000004,国华网安,深圳,软件服务,19910114,16.92,17.25,0.15,117555.62,200930.92
000005.SZ,000005,ST星源,深圳,环境保护,19901210,1.42,1.4,-0.03,72519.0,10127.501
000006.SZ,000006,深振业A,深圳,区域地产,19920427,4.3,4.28,-0.05,114340.09,48794.192
000007.SZ,000007,*ST全新,深圳,其他商业,19920413,4.81,4.68,-0.13,49811.78,23360.131
000008.SZ,000008,神州高铁,北京,运输设备,19920507,2.35,2.35,-0.01,151121.0,35307.383
000009.SZ,000009,中国宝安,深圳,电气设备,19910625,10.03,10.01,-0.03,111745.7,111161.577
000010.SZ,000010,美丽生态,深圳,建筑工程,19951027,4.0,4.06,0.07,1653485.75,684196.85
000011.SZ,000011,深物业A,深圳,区域地产,19920330,9.3,9.32,-0.03,27078.36,25162.337
000012.SZ,000012,南玻A,深圳,玻璃,19920228,5.26,5.27,0.01,83723.1,43874.226
000014.SZ,000014,沙河股份,深圳,全国地产,19920602,11.22,11.13,-0.12,47772.83,52948.164
000016.SZ,000016,深康佳A,深圳,家用电器,19920327,4.1,4.16,0.07,117335.0,48395.713
000017.SZ,000017,深中华A,深圳,服饰,19920331,4.17,4.16,-0.03,26171.96,10856.24
000019.SZ,000019,深粮控股,深圳,农业综合,19921012,6.89,6.88,0.0,27876.15,19116.116
000020.SZ,000020,深华发A,深圳,元器件,19920428,11.24,11.3,0.06,11989.0,13483.958
000021.SZ,000021,深科技,深圳,元器件,19940202,15.55,15.45,-0.28,290341.0,446755.362
000023.SZ,000023,ST深天,深圳,水泥,19930429,6.04,6.09,-0.03,10202.0,6197.361
000025.SZ,000025,特力A,深圳,汽车服务,19930621,14.92,15.06,0.09,26813.95,40227.819
000026.SZ,000026,飞亚达,深圳,服饰,19930603,10.18,10.28,0.04,41317.71,42018.479
000027.SZ,000027,深圳能源,深圳,火力发电,19930903,6.04,6.12,0.07,109881.64,66828.576
000028.SZ,000028,国药一致,深圳,医药商业,19930809,27.89,28.31,0.3,31832.19,89518.267
000029.SZ,000029,深深房A,深圳,区域地产,19930915,10.94,10.77,-0.21,27404.5,29610.85
000030.SZ,000030,富奥股份,吉林,汽车配件,19930929,5.27,5.45,0.15,97777.15,52550.294
000031.SZ,000031,大悦城,深圳,全国地产,19931008,3.48,3.44,-0.04,102988.71,35502.436
000032.SZ,000032,深桑达A,深圳,建筑工程,19931028,19.37,19.51,-0.15,214392.38,418069.314
000034.SZ,000034,神州数码,深圳,软件服务,19940509,28.64,29.28,0.27,297531.18,863055.007
000035.SZ,000035,中国天楹,江苏,环境保护,19940408,5.69,5.82,0.04,140295.5,81446.63
000036.SZ,000036,华联控股,深圳,全国地产,19940617,3.66,3.63,-0.04,56512.65,20530.754
000037.SZ,000037,深南电A,深圳,火力发电,19940701,8.2,8.35,0.11,68455.84,56611.435
000039.SZ,000039,中集集团,深圳,运输设备,19940408,6.49,6.6,0.12,232460.98,152897.185
000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808,3.91,3.91,0.0,136104.39,52934.298
000042.SZ,000042,中洲控股,深圳,全国地产,19940921,6.48,6.27,-0.21,49804.0,31339.605
000045.SZ,000045,深纺织A,深圳,元器件,19940815,10.92,11.29,0.33,94299.0,104909.874
000046.SZ,000046,*ST泛海,北京,多元金融,19940912,1.52,1.59,0.03,2841824.18,436441.109
000048.SZ,000048,京基智农,深圳,区域地产,19941101,18.88,18.83,-0.06,46926.6,88762.599
000049.SZ,000049,德赛电池,深圳,电气设备,19950320,30.11,30.3,0.02,27843.47,83220.444
000050.SZ,000050,深天马A,深圳,元器件,19950315,9.61,9.73,0.1,171745.74,166379.403
000055.SZ,000055,方大集团,深圳,装修装饰,19960415,4.68,4.68,-0.04,47545.0,22149.25
000056.SZ,000056,皇庭国际,深圳,房产服务,19960708,2.89,2.84,-0.07,123318.0,35034.892
000058.SZ,000058,深赛格,深圳,商品城,19961226,7.12,7.04,-0.04,174771.0,122191.95
000059.SZ,000059,华锦股份,辽宁,石油加工,19970130,5.7,5.62,-0.12,186294.0,104423.894
000060.SZ,000060,中金岭南,深圳,铅锌,19970123,4.68,4.73,0.04,243658.58,114146.365
000061.SZ,000061,农产品,深圳,农业综合,19970110,6.54,6.57,0.03,46357.52,30419.645
000062.SZ,000062,深圳华强,深圳,元器件,19970130,10.77,10.93,0.11,35326.1,38340.326
000063.SZ,000063,中兴通讯,深圳,通信设备,19971118,25.55,25.66,-0.24,1183048.98,2992105.828
000065.SZ,000065,北方国际,北京,建筑工程,19980605,11.57,11.65,-0.09,113470.92,131005.515
000066.SZ,000066,中国长城,深圳,IT设备,19970626,10.6,10.88,0.21,654771.97,706598.313
000068.SZ,000068,华控赛格,深圳,环境保护,19970611,3.67,3.65,-0.05,101338.49,36957.493
000069.SZ,000069,华侨城A,深圳,全国地产,19970910,3.63,3.66,0.0,213872.49,77758.0
000070.SZ,000070,特发信息,深圳,通信设备,20000511,8.82,9.07,0.27,609089.83,549633.335
000078.SZ,000078,海王生物,深圳,医药商业,19981218,2.91,2.96,0.03,74825.5,21968.567
000088.SZ,000088,盐田港,深圳,港口,19970728,4.82,4.89,0.06,73462.37,35800.951
000089.SZ,000089,深圳机场,深圳,机场,19980420,6.53,6.6,0.07,56451.7,37046.725
000090.SZ,000090,天健集团,深圳,建筑工程,19990721,5.62,5.24,-0.46,645561.56,344866.274
000096.SZ,000096,广聚能源,深圳,石油贸易,20000724,9.12,8.94,-0.12,28794.0,25735.179
000099.SZ,000099,中信海直,深圳,空运,20000731,7.73,7.87,0.12,71359.65,55508.477
000100.SZ,000100,TCL科技,广东,元器件,20040130,3.8,3.85,0.03,1481833.72,562905.232
000151.SZ,000151,中成股份,北京,商贸代理,20000906,10.82,10.85,-0.1,54015.2,58355.094
000153.SZ,000153,丰原药业,安徽,化学制药,20000920,9.54,9.51,-0.11,86275.0,81942.638
000155.SZ,000155,川能动力,四川,新型电力,20000926,11.45,11.4,-0.14,96464.71,108874.032
000156.SZ,000156,华数传媒,浙江,影视音像,20000906,7.13,7.2,0.05,62425.08,44771.903
000157.SZ,000157,中联重科,湖南,工程机械,20001012,6.45,6.51,0.04,279429.77,180798.12
000158.SZ,000158,常山北明,河北,软件服务,20000724,9.61,10.24,0.49,3503951.72,3635257.137
000159.SZ,000159,国际实业,新疆,石油贸易,20000926,6.4,6.38,-0.05,55430.0,35080.416
000166.SZ,000166,申万宏源,新疆,证券,20150126,4.35,4.39,0.02,445192.46,194739.424
000301.SZ,000301,东方盛虹,江苏,化纤,20000529,10.2,10.35,0.05,167450.53,171639.988
000333.SZ,000333,美的集团,广东,家用电器,20130918,52.22,52.51,0.09,151655.12,794020.501
000338.SZ,000338,潍柴动力,山东,汽车配件,20070430,13.92,14.09,-0.05,1006686.45,1402060.402
000400.SZ,000400,许继电气,河南,电气设备,19970418,16.91,17.18,0.11,69483.29,118025.067
000401.SZ,000401,冀东水泥,河北,水泥,19960614,7.58,7.37,-0.25,354141.49,261788.176
000402.SZ,000402,金融街,北京,全国地产,19960626,4.05,4.03,-0.03,86591.01,34923.486
000403.SZ,000403,派林生物,山西,生物制药,19960628,21.5,21.78,0.32,75566.13,166741.044
000404.SZ,000404,长虹华意,江西,家用电器,19960619,6.0,6.09,0.08,150005.5,89947.208
000407.SZ,000407,胜利股份,山东,供气供热,19960703,3.61,3.64,0.01,78380.0,28389.711
000408.SZ,000408,藏格矿业,青海,农药化肥,19960628,21.56,21.98,0.27,48735.23,105879.112
000409.SZ,000409,云鼎科技,山东,软件服务,19960627,7.49,7.91,0.47,223653.77,176312.833
000410.SZ,000410,沈阳机床,辽宁,机床制造,19960718,7.5,7.57,-0.07,186790.07,141184.702
000411.SZ,000411,英特集团,浙江,医药商业,19960716,11.11,11.24,0.03,34284.49,38227.01
000413.SZ,000413,东旭光电,河北,元器件,19960925,2.35,2.37,-0.01,3043963.99,727624.221
000415.SZ,000415,渤海租赁,新疆,多元金融,19960716,2.4,2.4,-0.01,234849.0,56338.041
000416.SZ,000416,*ST民控,山东,多元金融,19960719,1.94,1.98,0.03,74748.0,14574.872
000417.SZ,000417,合肥百货,安徽,百货,19960812,4.7,4.63,-0.11,383870.39,178451.89
000419.SZ,000419,通程控股,湖南,百货,19960816,5.44,5.27,-0.21,116414.0,61755.054
000420.SZ,000420,吉林化纤,吉林,化纤,19960802,3.01,3.05,0.01,165227.94,49657.404
000421.SZ,000421,南京公用,江苏,供气供热,19960806,4.92,4.99,0.02,49547.0,24613.335
000422.SZ,000422,湖北宜化,湖北,农药化肥,19960815,9.65,9.63,-0.11,66511.96,63705.058
000423.SZ,000423,东阿阿胶,山东,中成药,19960729,45.0,45.48,0.41,18830.11,85565.693
000425.SZ,000425,徐工机械,江苏,工程机械,19960828,5.87,5.95,0.06,746177.38,437698.885
000426.SZ,000426,兴业银锡,内蒙,铅锌,19960828,9.29,9.4,-0.02,180501.37,170175.678
000428.SZ,000428,华天酒店,湖南,酒店餐饮,19960808,3.98,3.99,-0.01,117167.0,46361.296
000429.SZ,000429,粤高速A,广东,路桥,19980220,8.21,8.36,0.17,79432.33,66271.734
000430.SZ,000430,张家界,湖南,旅游景点,19960829,6.6,6.61,0.01,27401.0,18034.018
000488.SZ,000488,晨鸣纸业,山东,造纸,20001120,4.31,4.38,0.04,74833.5,32534.735
000498.SZ,000498,山东路桥,山东,建筑工程,19970609,6.23,6.24,-0.02,76229.18,47220.909
000501.SZ,000501,武商集团,湖北,百货,19921120,8.57,8.57,0.0,30044.0,25620.528
000503.SZ,000503,国新健康,山东,软件服务,19921130,10.05,10.01,-0.1,63197.53,63002.654
000504.SZ,000504,南华生物,湖南,医疗保健,19921208,10.61,10.65,0.03,15429.0,16351.09
000505.SZ,000505,京粮控股,海南,食品,19921221,7.09,7.0,-0.13,71477.9,49784.009
000506.SZ,000506,中润资源,山东,黄金,19930312,4.3,4.26,-0.03,323522.0,137998.837
